"filename", "language", "Handlebars", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\components\_items.scss", "SCSS", 0, 0, 0, 0, 2, 2
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\applications\actor\types\npc.mjs", "JavaScript", 0, 18, 0, 4, 5, 27
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\data\item\rote.mjs", "JavaScript", 0, 2, 0, -2, 3, 3
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\equipment.hbs", "Handlebars", -1, 0, 0, 0, 2, 1
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\magic.hbs", "Handlebars", -1, 0, 0, 0, 1, 0
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\npc\traits.hbs", "Handlebars", 17, 0, 0, 0, 2, 19
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\feature\feature-item.hbs", "Handlebars", 2, 0, 0, 0, 0, 2
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\shared\actor-effects.hbs", "Handlebars", 0, 0, 0, 0, -1, -1
"Total", "-", 17, 20, 0, 2, 14, 53
